Order_ID,Order_Date,Product,Category,State,City,Region,Quantity,Sales,Profit,Latitude,Longitude
Ord-0001,2025-01-21,Monitor,Electronics,Uttar Pradesh,Lucknow,North,5,83971.64,17847.96,26.8467,80.9462
Ord-0002,2026-01-08,Cabinet,Furniture,Uttar Pradesh,Lucknow,North,3,30293.85,4788.62,26.8467,80.9462
Ord-0003,2026-05-07,Table,Furniture,Rajasthan,Jaipur,North,3,40666.73,9958.66,26.9124,75.7873
Ord-0004,2026-04-05,Chair,Furniture,Bihar,Patna,East,2,9327.28,1037.0,25.5941,85.1376
Ord-0005,2025-02-28,Chair,Furniture,Telangana,Hyderabad,South,5,24443.75,3165.68,17.385,78.4867
Ord-0006,2025-05-11,Tablet,Electronics,Telangana,Hyderabad,South,4,87345.47,15784.24,17.385,78.4867
Ord-0007,2025-11-12,Tablet,Electronics,Delhi,New Delhi,North,5,107919.89,8876.96,28.6139,77.209
Ord-0008,2025-12-06,Phone,Electronics,Bihar,Patna,East,2,57289.83,5534.44,25.5941,85.1376
Ord-0009,2025-07-25,Desk,Furniture,West Bengal,Kolkata,East,4,47478.33,4075.83,22.5726,88.3639
Ord-0010,2026-01-25,Monitor,Electronics,Maharashtra,Mumbai,West,2,36693.14,4879.85,19.076,72.8777
Ord-0011,2026-07-10,Cabinet,Furniture,Chandigarh,Chandigarh,North,4,41064.05,10053.69,30.7333,76.7794
Ord-0012,2026-04-01,Cabinet,Furniture,Maharashtra,Pune,West,4,44335.37,10495.01,18.5204,73.8567
Ord-0013,2025-12-04,Desk,Furniture,Bihar,Patna,East,4,43590.76,5898.1,25.5941,85.1376
Ord-0014,2026-05-08,Table,Furniture,Delhi,New Delhi,North,2,32212.38,5901.17,28.6139,77.209
Ord-0015,2026-04-17,Laptop,Electronics,Tamil Nadu,Chennai,South,1,53881.98,11384.27,13.0827,80.2707
Ord-0016,2026-01-14,Tablet,Electronics,Kerala,Kochi,South,1,22616.91,4847.48,9.9312,76.2673
Ord-0017,2025-02-02,Cabinet,Furniture,Delhi,New Delhi,North,2,20258.84,4593.24,28.6139,77.209
Ord-0018,2026-07-01,Desk,Furniture,Uttar Pradesh,Mumbai,North,5,61879.75,11657.2,26.8467,80.9462
Ord-0019,2025-01-05,Tablet,Electronics,Maharashtra,Mumbai,West,5,118239.9,26523.02,19.076,72.8777
Ord-0020,2026-07-08,Desk,Furniture,Telangana,Hyderabad,South,3,35787.31,5464.08,17.385,78.4867
Ord-0021,2026-04-30,Tablet,Electronics,West Bengal,Kolkata,East,1,21044.85,3503.06,22.5726,88.3639
Ord-0022,2026-06-09,Desk,Furniture,Uttar Pradesh,Lucknow,North,5,59830.28,6851.79,26.8467,80.9462
Ord-0023,2025-01-28,Tablet,Electronics,Uttar Pradesh,Lucknow,North,4,93926.41,20417.77,26.8467,80.9462
Ord-0024,2026-04-18,Monitor,Electronics,West Bengal,Kolkata,East,3,51752.63,5214.33,22.5726,88.3639
Ord-0025,2025-09-16,Laptop,Electronics,Uttar Pradesh,Lucknow,North,1,47051.42,7180.44,26.8467,80.9462
Ord-0026,2025-08-22,Chair,Furniture,Uttar Pradesh,Lucknow,North,3,14627.01,1722.45,26.8467,80.9462
Ord-0027,2025-08-21,Table,Furniture,West Bengal,Kolkata,East,3,43117.94,7252.2,22.5726,88.3639
Ord-0028,2026-01-21,Laptop,Electronics,Rajasthan,Jaipur,North,1,47285.24,5767.33,26.9124,75.7873
Ord-0029,2025-04-23,Laptop,Electronics,Gujarat,Ahmedabad,West,5,237817.82,20516.73,23.0225,72.5714
Ord-0030,2025-08-13,Phone,Electronics,Maharashtra,Pune,West,4,109111.94,13897.58,18.5204,73.8567
Ord-0031,2026-02-20,Tablet,Electronics,Maharashtra,Mumbai,West,2,43805.0,6838.97,19.076,72.8777
Ord-0032,2025-10-21,Monitor,Electronics,Uttar Pradesh,Lucknow,North,3,52193.04,6324.08,26.8467,80.9462
Ord-0033,2026-05-26,Keyboard,Electronics,Karnataka,Bengaluru,South,4,15078.23,2228.56,12.9716,77.5946
Ord-0034,2026-02-07,Bookshelf,Furniture,Maharashtra,Mumbai,West,4,35693.13,7077.53,19.076,72.8777
Ord-0035,2026-05-04,Tablet,Electronics,Telangana,Hyderabad,South,3,63542.15,6122.29,17.385,78.4867
Ord-0036,2026-04-18,Table,Furniture,Maharashtra,Mumbai,West,2,31523.63,6142.93,19.076,72.8777
Ord-0037,2025-12-12,Desk,Furniture,Maharashtra,Pune,West,2,22714.31,4365.63,18.5204,73.8567
Ord-0038,2025-09-11,Monitor,Electronics,Tamil Nadu,Chennai,South,4,68180.35,17001.67,13.0827,80.2707
